round,avg_classifier_loss,avg_client_fit_sec,avg_confidence_threshold,avg_discriminator_loss,avg_distillation_loss,bytes_broadcast_packed_total,bytes_broadcast_wire_total,bytes_open_dataset_this_round,bytes_upload_packed_total,bytes_upload_wire_total,cumulative_mb_packed,cumulative_mb_wire,max_client_fit_sec,round_total_sec,server_eval_sec,server_vote_sec,total_familiar,total_unfamiliar,valid_global_labels
1,0.8577210976527286,2.1430947599990757,0.4349769353866577,0.24898050996571822,0.0,44500,356000,20470000,44500,356000,20.559,21.182,2.1859212999988813,0.0010934999991150107,7.400001777568832e-06,0.0006877000014355872,19132,25368,6626
2,0.30842730271128505,3.1516147800000907,0.7726180791854859,0.22047584014793134,0.1509351744135814,44500,356000,0,44500,356000,20.648,21.894,3.173425799999677,0.0009766000002855435,3.7999998312443495e-06,0.000627199999144068,21662,22838,8467
3,0.20604823485303383,3.383377300000575,0.8185870885848999,0.16577784556023398,0.0771045667415156,44500,356000,0,44500,356000,20.737,22.606,3.458239700001286,0.0008736999989196192,2.7999994927085936e-06,0.0005347000005713198,21317,23183,8387
4,0.19036304871909895,3.437986099999398,0.8590762376785278,0.21139071129482995,0.1091161297634244,44500,356000,0,44500,356000,20.826,23.318,3.485010100001091,0.0008132000002660789,2.6000016077887267e-06,0.0004924000022583641,18814,25686,8318
5,0.17385958522701492,3.3836995799989382,0.90084787607193,0.20728876973231736,0.06160906974137539,44500,356000,0,44500,356000,20.915,24.03,3.4601658999999927,0.0008762999968894292,3.0000010156072676e-06,0.0005392000020947307,19031,25469,8344
6,0.16276166630335726,3.359907559999556,0.9217003345489502,0.19942403059830743,0.07150644391242947,44500,356000,0,44500,356000,21.004,24.742,3.459895100000722,0.0009067999999388121,3.0000010156072676e-06,0.0005627999998978339,18272,26228,8310
7,0.15566789540820397,3.486084060002031,0.9293399810791015,0.21836348043780932,0.058612917353318715,44500,356000,0,44500,356000,21.093,25.454,3.503104000003077,0.0008467999978165608,2.6999987312592566e-06,0.0004996999996365048,16320,28180,8166
8,0.15276965264302605,3.4568134799999823,0.9462355375289917,0.21393026297020032,0.05779472353482028,44500,356000,0,44500,356000,21.182,26.166,3.4866961000006995,0.0007871999987401068,3.1999989005271345e-06,0.0004687000000558328,16005,28495,8114
9,0.1486310120815268,3.4336274599991157,0.9630022406578064,0.22599276999064105,0.02903896950571457,44500,356000,0,44500,356000,21.271,26.878,3.4734626999998,0.000820099998236401,2.9000002541579306e-06,0.0004836999978579115,15793,28707,8227
10,0.14434902149167522,3.477916340000229,0.9666579723358154,0.2325871352904844,0.03704356751180287,44500,356000,0,44500,356000,21.36,27.59,3.4983131000008143,0.0008084000000962988,2.7999994927085936e-06,0.000465299999632407,14951,29549,8145
